operation,storage,n,execution_time_sec
vec_add,sparse,16,8.66e-08
mat_add,sparse,16,6.25186e-06
matvec,sparse,16,4.0912e-07
res_nominal,sparse,16,4.7944e-07
res_optimised,sparse,16,4.6938e-07
vec_add,dense,16,7.448e-08
mat_add,dense,16,5.9768e-07
matvec,dense,16,1.20214e-06
res_nominal,dense,16,1.30256e-06
res_optimised,dense,16,1.92218e-06
vec_add,sparse,64,1.81e-07
mat_add,sparse,64,2.74989e-05
matvec,sparse,64,1.65702e-06
res_nominal,sparse,64,1.83494e-06
res_optimised,sparse,64,1.90522e-06
vec_add,dense,64,1.6132e-07
mat_add,dense,64,9.84778e-06
matvec,dense,64,2.02959e-05
res_nominal,dense,64,2.07379e-05
res_optimised,dense,64,3.18372e-05
vec_add,sparse,256,5.0384e-07
mat_add,sparse,256,0.000195273
matvec,sparse,256,7.35526e-06
res_nominal,sparse,256,8.16096e-06
res_optimised,sparse,256,8.11726e-06
vec_add,dense,256,5.646e-07
mat_add,dense,256,0.000204389
matvec,dense,256,0.000286487
res_nominal,dense,256,0.000247033
res_optimised,dense,256,0.000314713
vec_add,sparse,1024,1.1997e-06
mat_add,sparse,1024,0.000386884
matvec,sparse,1024,1.77754e-05
res_nominal,sparse,1024,2.10953e-05
res_optimised,sparse,1024,1.8245e-05
vec_add,dense,1024,1.3035e-06
mat_add,dense,1024,0.00344425
matvec,dense,1024,0.00336336
res_nominal,dense,1024,0.00342359
res_optimised,dense,1024,0.00483491
vec_add,sparse,4096,5.1245e-06
mat_add,sparse,4096,0.00157176
matvec,sparse,4096,7.17847e-05
res_nominal,sparse,4096,7.38105e-05
res_optimised,sparse,4096,7.68536e-05
vec_add,dense,4096,5.6056e-06
mat_add,dense,4096,0.124589
matvec,dense,4096,0.0538302
res_nominal,dense,4096,0.0539161
res_optimised,dense,4096,0.0770274
vec_add,sparse,10000,2.7187e-05
mat_add,sparse,10000,0.00408822
matvec,sparse,10000,0.000178639
res_nominal,sparse,10000,0.000178354
res_optimised,sparse,10000,0.000201873
vec_add,dense,10000,2.0725e-05
mat_add,dense,10000,0.739918
matvec,dense,10000,0.317461
res_nominal,dense,10000,0.318422
res_optimised,dense,10000,0.454353
vec_add,sparse,22500,3.8559e-05
mat_add,sparse,22500,0.0129233
matvec,sparse,22500,0.000402688
res_nominal,sparse,22500,0.000421453
res_optimised,sparse,22500,0.000487974
vec_add,sparse,40000,6.932e-05
mat_add,sparse,40000,0.0259228
matvec,sparse,40000,0.000763023
res_nominal,sparse,40000,0.000778593
res_optimised,sparse,40000,0.000764669
vec_add,sparse,50176,8.8868e-05
mat_add,sparse,50176,0.0295295
matvec,sparse,50176,0.00102228
res_nominal,sparse,50176,0.00113561
res_optimised,sparse,50176,0.00100139
